,t,c,o,h,l,v
628,2016-08-07 14:59:59,411.80977328718,429.18140144073,441.44372719618,411.80977328718,5038
629,2016-08-08 14:59:59,398.52558705211,411.80977328718,411.80977328718,398.52558705211,1938
630,2016-08-09 14:59:59,422.64149437116,406.49609879315,422.64149437116,406.49609879315,82
631,2016-08-10 14:59:59,418.96279664453,431.02075030405,431.02075030405,399.75181962765,4652
632,2016-08-11 14:59:59,418.96279664453,427.34205257742,429.18140144073,417.32781987713,2206
633,2016-08-14 14:59:59,406.70047088908,414.87535472604,414.87535472604,404.65674992983,1965
634,2016-08-15 14:59:59,393.41628465401,397.50372657249,398.72995914803,388.3069822559,3044
635,2016-08-16 14:59:59,394.64251722955,385.24140081704,408.53981975239,385.24140081704,3078
636,2016-08-17 14:59:59,405.26986621761,402.40865687467,418.55405245268,402.40865687467,1473
637,2016-08-21 14:59:59,395.0512614214,406.70047088908,408.53981975239,394.43814513363,1496
638,2016-08-22 14:59:59,380.13209841894,394.43814513363,394.43814513363,378.08837745969,2866
639,2016-08-23 14:59:59,369.91349362273,370.73098200642,380.13209841894,363.782330745,4356
640,2016-08-24 14:59:59,393.21191255808,362.76047026538,393.21191255808,355.60744690804,2715
641,2016-08-28 14:59:59,409.35730813609,400.9780522032,410.78791280756,394.43814513363,2346
642,2016-08-29 14:59:59,408.53981975239,408.74419184832,408.74419184832,392.39442417438,1144
643,2016-08-30 14:59:59,402.61302897059,410.99228490348,415.89721520566,402.61302897059,2423
644,2016-08-31 14:59:59,402.61302897059,396.68623818879,406.49609879315,396.68623818879,2350
645,2016-09-01 14:59:59,405.67861040946,404.86112202576,408.74419184832,404.86112202576,2199
646,2016-09-04 14:59:59,408.53981975239,408.74419184832,413.6491221505,402.61302897059,2561
647,2016-09-05 14:59:59,410.58354071163,408.74419184832,418.96279664453,408.74419184832,1933
648,2016-09-06 14:59:59,402.61302897059,418.7584245486,418.96279664453,402.61302897059,2784
649,2016-09-07 14:59:59,403.63488945021,399.54744753173,403.63488945021,399.54744753173,675
650,2016-09-08 14:59:59,406.70047088908,400.56930801135,408.74419184832,400.56930801135,2859
651,2016-09-11 14:59:59,408.74419184832,414.67098263012,414.67098263012,407.7223313687,4396
652,2016-09-12 14:59:59,408.74419184832,408.74419184832,410.78791280756,405.06549412168,2178
653,2016-09-14 14:59:59,392.39442417438,408.74419184832,408.74419184832,388.3069822559,6548
654,2016-09-18 14:59:59,376.04465650045,388.3069822559,388.3069822559,372.97907506159,5065
655,2016-09-20 14:59:59,370.93535410235,368.89163314311,373.79656344529,367.86977266349,3550
656,2016-09-21 14:59:59,368.07414475941,367.86977266349,371.75284248604,360.51237721022,4776
657,2016-09-22 14:59:59,365.00856332055,367.86977266349,367.86977266349,365.00856332055,2079
658,2016-09-25 14:59:59,365.00856332055,367.86977266349,367.86977266349,365.00856332055,2079
659,2016-09-26 14:59:59,359.69488882652,357.65116786728,366.64354008794,352.54186546917,2007
660,2016-09-27 14:59:59,353.56372594879,363.782330745,363.782330745,352.7462375651,956
