,t,c,o,h,l,v
645,2014-10-30 14:59:59,332.63621841948,336.21295195087,339.93275482352,329.91790093562,2519
646,2014-11-02 14:59:59,327.62879147553,332.63621841948,332.63621841948,326.19809806297,1073
647,2014-11-03 14:59:59,314.75255076251,327.62879147553,322.62136453158,314.75255076251,3592
648,2014-11-04 14:59:59,316.18324417507,314.75255076251,316.18324417507,309.02977711229,2684
649,2014-11-05 14:59:59,315.61096681005,316.18324417507,317.32779890512,310.46047052484,6995
650,2014-11-06 14:59:59,317.61393758763,315.61096681005,319.75997770646,313.46492669121,7739
651,2014-11-09 14:59:59,317.18472956386,317.61393758763,322.19215650781,314.75255076251,11263
652,2014-11-10 14:59:59,314.75255076251,317.18472956386,321.76294848404,311.8911639374,6328
653,2014-11-11 14:59:59,314.75255076251,314.75255076251,314.75255076251,311.17581723112,6449
654,2014-11-12 14:59:59,310.46047052484,314.75255076251,316.04017483382,310.46047052484,11776
655,2014-11-13 14:59:59,309.02977711229,310.40324278834,314.18027339749,309.02977711229,99
656,2014-11-16 14:59:59,293.40660504717,309.02977711229,303.02086477955,286.7109598764,2309
657,2014-11-17 14:59:59,280.70204754366,293.40660504717,288.08442555245,276.5816505155,3945
658,2014-11-18 14:59:59,286.19591024788,280.70204754366,286.19591024788,268.51253966868,2897
659,2014-11-19 14:59:59,293.57828825667,286.19591024788,293.57828825667,280.53036433415,2153
660,2014-11-20 14:59:59,298.55710133237,293.57828825667,303.02086477955,291.8614561616,2401
661,2014-11-23 14:59:59,299.07215096089,298.55710133237,304.3943304556,291.00304011407,4018
662,2014-11-24 14:59:59,294.43670430421,299.07215096089,295.98185318977,293.57828825667,2010
663,2014-11-25 14:59:59,291.17472332358,294.43670430421,293.57828825667,286.02422703837,3089
664,2014-11-30 14:59:59,288.42779197147,291.17472332358,291.8614561616,288.42779197147,2125
665,2014-12-01 14:59:59,290.48799048555,288.42779197147,292.03313937111,286.7109598764,3262
666,2014-12-02 14:59:59,288.42779197147,290.48799048555,288.42779197147,280.70204754366,3265
667,2014-12-03 14:59:59,285.85254382887,288.42779197147,293.57828825667,285.85254382887,2392
668,2014-12-04 14:59:59,294.2650210947,285.85254382887,295.29512035174,289.62957443802,3338
669,2014-12-07 14:59:59,292.03313937111,294.2650210947,294.95175393273,291.8614561616,3015
670,2014-12-08 14:59:59,293.06323862815,292.03313937111,293.06323862815,291.8614561616,1571
671,2014-12-09 14:59:59,294.43670430421,293.06323862815,295.29512035174,291.8614561616,2452
672,2014-12-10 14:59:59,295.29512035174,294.43670430421,299.58720058941,288.77115839048,1666
673,2014-12-11 14:59:59,309.02977711229,295.29512035174,309.02977711229,289.45789122851,4183
674,2014-12-14 14:59:59,333.92384249078,309.02977711229,334.26720890979,315.21037265453,864
675,2014-12-15 14:59:59,334.78225853831,333.92384249078,343.36641901365,322.93611708234,3945
